id,title,description,availability,link,image link,price,identifier exists,gtin,mpn,brand,condition,adult,color,size,gender,age group
B07YQ6A554,"Google Nest Mini (2nd Generation) - Smart Speaker with Google Assistant","Meet the second-generation Nest Mini, the smart speaker you control with your voice. Just say ""Hey Google"" to play your favorite music, get answers to your questions, and more. It's bigger and richer sound in a compact design.",in_stock,http://www.example.com/nest_mini,http://www.example.com/nest_mini.jpg,49.99 USD,yes,193575000215,GA00638-US,Google,new,no,Chalk,,unisex,
TS-GGL-TEE-M,"Google Logo T-Shirt - Men's Medium","Show your love for Google with this classic 100% cotton t-shirt. Featuring the iconic Google logo, this comfortable and durable tee is perfect for everyday wear.",in_stock,http://www.example.com/google_tee_men,http://www.example.com/google_tee_men.jpg,24.99 USD,yes,,TS-GGL-TEE-M,Google,new,no,White,M,male,adult
CHR-CST-4K-W,"Google Chromecast with Google TV (4K) - Snow","Get all your favorite streaming content in one place with the Google Chromecast with Google TV. Enjoy stunning 4K HDR visuals and find your next favorite with voice search.",in_stock,http://www.example.com/chromecast_4k,http://www.example.com/chromecast_4k.jpg,49.99 USD,yes,193575007344,GA01919-US,Google,new,no,Snow,,unisex,
GGL-WTR-BTL-20,"Google Stainless Steel Water Bottle (20 oz)","Stay hydrated on the go with this sleek and durable 20 oz stainless steel water bottle from Google. Features a leak-proof cap and double-wall insulation to keep your drinks cold for hours.",in_stock,http://www.example.com/google_water_bottle,http://www.example.com/google_water_bottle.jpg,19.99 USD,yes,,GGL-WTR-BTL-20,Google,new,no,Silver,,unisex,
PIXEL-BUDS-PRO-C,"Google Pixel Buds Pro - Charcoal","Experience premium sound with Active Noise Cancellation and a comfortable, secure fit. The Google Pixel Buds Pro are the perfect audio companion for your Pixel phone or any other Bluetooth device.",in_stock,http://www.example.com/pixel_buds_pro,http://www.example.com/pixel_buds_pro.jpg,199.99 USD,yes,810029934679,GA03201-US,Google,new,no,Charcoal,,unisex,
GGL-MUG-11,"Google Ceramic Mug (11 oz)","Start your day with a cup of coffee in this classic 11 oz ceramic mug featuring the Google logo. Microwave and dishwasher safe.",in_stock,http://www.example.com/google_mug,http://www.example.com/google_mug.jpg,12.99 USD,yes,,GGL-MUG-11,Google,new,no,White,,unisex,
GGL-CAP-ADJ,"Google Adjustable Baseball Cap","A classic six-panel baseball cap with the Google logo embroidered on the front. Adjustable strap for a comfortable fit for most head sizes.",in_stock,http://www.example.com/google_cap,http://www.example.com/google_cap.jpg,19.99 USD,yes,,GGL-CAP-ADJ,Google,new,no,Blue,,unisex,adult
GGL-NB-A5,"Google Hardcover Notebook (A5)","Jot down your brilliant ideas in this stylish A5 hardcover notebook. Features 192 pages of high-quality, acid-free paper.",in_stock,http://www.example.com/google_notebook,http://www.example.com/google_notebook.jpg,15.99 USD,yes,,GGL-NB-A5,Google,new,no,Gray,,unisex,
GGL-PEN-BLK,"Google Retractable Ballpoint Pen","A sleek and reliable retractable ballpoint pen with black ink. The perfect accessory for your Google notebook.",in_stock,http://www.example.com/google_pen,http://www.example.com/google_pen.jpg,5.99 USD,yes,,GGL-PEN-BLK,Google,new,no,Silver,,unisex,
GGL-BACKPACK,"Google Everyday Backpack","Carry your essentials in style with the Google Everyday Backpack. Features a padded laptop compartment, multiple pockets, and a durable, water-resistant design.",in_stock,http://www.example.com/google_backpack,http://www.example.com/google_backpack.jpg,79.99 USD,yes,,GGL-BACKPACK,Google,new,no,Black,,unisex,adult
GGL-SOCKS-L,"Google Logo Socks (Large)","A comfortable and stylish pair of crew socks featuring a jacquard knit Google logo. Made from a soft and breathable cotton blend.",in_stock,http://www.example.com/google_socks,http://www.example.com/google_socks.jpg,14.99 USD,yes,,GGL-SOCKS-L,Google,new,no,Multi-color,L,unisex,adult
GGL-HD-M-GRY,"Men's Classic Google Logo Hoodie - Medium","Stay warm and comfortable in this classic pullover hoodie. Made from a soft fleece fabric and featuring a screen-printed Google logo.",in_stock,http://www.example.com/google_hoodie_men,http://www.example.com/google_hoodie_men.jpg,49.99 USD,yes,,GGL-HD-M-GRY,Google,new,no,Heather Gray,M,male,adult
GGL-TEE-W-S,"Women's Google Logo T-Shirt - Small","A classic and comfortable 100% cotton t-shirt with a screen-printed Google logo, tailored for a feminine fit.",in_stock,http://www.example.com/google_tee_women,http://www.example.com/google_tee_women.jpg,24.99 USD,yes,,GGL-TEE-W-S,Google,new,no,White,S,female,adult
NEST-CAM-OD,"Google Nest Cam (Outdoor)","Keep an eye on your home 24/7 with the weatherproof Google Nest Cam Outdoor. Get alerts on your phone when there's activity.",in_stock,http://www.example.com/nest_cam_outdoor,http://www.example.com/nest_cam_outdoor.jpg,199.99 USD,yes,810029930831,GA01894-US,Google,new,no,White,,unisex,
NEST-HUB-MAX,"Google Nest Hub Max","The Nest Hub Max with the Google Assistant helps your busy family stay in touch and on track. Make video calls, leave video messages, and check in on home when you're away.",in_stock,http://www.example.com/nest_hub_max,http://www.example.com/nest_hub_max.jpg,229.00 USD,yes,193575000239,GA00639-US,Google,new,no,Chalk,,unisex,
PIXEL-WATCH-WIFI,"Google Pixel Watch (Wi-Fi)","The first smartwatch to deliver the best of Google and Fitbit. Track your heart rate, activity, and sleep, and get help from Google Assistant right on your wrist.",in_stock,http://www.example.com/pixel_watch_wifi,http://www.example.com/pixel_watch_wifi.jpg,349.99 USD,yes,810029934334,GA03184-US,Google,new,no,Matte Black,,unisex,
GGL-LANYARD,"Google Logo Lanyard","Keep your keys and ID badge close at hand with this durable and stylish lanyard featuring a repeating Google logo.",in_stock,http://www.example.com/google_lanyard,http://www.example.com/google_lanyard.jpg,7.99 USD,yes,,GGL-LANYARD,Google,new,no,Multi-color,,unisex,
GGL-STICKER-PK,"Google Sticker Pack","Decorate your laptop, water bottle, or notebook with this pack of high-quality vinyl stickers featuring various Google logos and icons.",in_stock,http://www.example.com/google_sticker_pack,http://www.example.com/google_sticker_pack.jpg,9.99 USD,yes,,GGL-STICKER-PK,Google,new,no,Multi-color,,unisex,
GGL-TOTE-BG,"Google Canvas Tote Bag","A sturdy and spacious canvas tote bag perfect for groceries, books, or a trip to the beach. Features a screen-printed Google logo.",in_stock,http://www.example.com/google_tote_bag,http://www.example.com/google_tote_bag.jpg,19.99 USD,yes,,GGL-TOTE-BG,Google,new,no,Natural,,unisex,
GGL-YOGA-MAT,"Google-branded Yoga Mat","Find your zen with this comfortable and non-slip yoga mat. Perfect for your home practice or at the studio.",in_stock,http://www.example.com/google_yoga_mat,http://www.example.com/google_yoga_mat.jpg,39.99 USD,yes,,GGL-YOGA-MAT,Google,new,no,Blue,,unisex,
GGL-BEACH-TWL,"Google Beach Towel","Soak up the sun in style with this large and absorbent beach towel featuring a colorful Google design.",in_stock,http://www.example.com/google_beach_towel,http://www.example.com/google_beach_towel.jpg,29.99 USD,yes,,GGL-BEACH-TWL,Google,new,no,Multi-color,,unisex,
GGL-ORNAMENT-25,"Google Holiday Ornament 2025","Celebrate the season with this limited edition 2025 Google holiday ornament. A perfect addition to any festive decor.",in_stock,http://www.example.com/google_ornament_2025,http://www.example.com/google_ornament_2025.jpg,14.99 USD,yes,,GGL-ORNAMENT-25,Google,new,no,Multi-color,,unisex,
GGL-PUZZLE-1000,"Google Campus 1000-Piece Puzzle","Piece together a beautiful image of the Google campus with this challenging and fun 1000-piece puzzle.",in_stock,http://www.example.com/google_puzzle,http://www.example.com/google_puzzle.jpg,24.99 USD,yes,,GGL-PUZZLE-1000,Google,new,no,Multi-color,,unisex,
GGL-PLAY-CARDS,"Google Playing Cards","A standard deck of 52 playing cards with a custom Google-themed design on the back.",in_stock,http://www.example.com/google_playing_cards,http://www.example.com/google_playing_cards.jpg,9.99 USD,yes,,GGL-PLAY-CARDS,Google,new,no,Multi-color,,unisex,
GGL-BABY-ONSIE-3M,"Google 'Future Googler' Baby Onesie (3 Months)","Dress up your little one in this adorable and soft 100% cotton onesie. The perfect gift for the future Googler in your life.",in_stock,http://www.example.com/google_baby_onesie,http://www.example.com/google_baby_onesie.jpg,19.99 USD,yes,,GGL-BABY-ONSIE-3M,Google,new,no,White,3M,unisex,newborn
GGL-DOG-BANDANA,"Google 'Woof' Dog Bandana","Let your furry friend show their Google pride with this fun and stylish dog bandana.",in_stock,http://www.example.com/google_dog_bandana,http://www.example.com/google_dog_bandana.jpg,12.99 USD,yes,,GGL-DOG-BANDANA,Google,new,no,Blue,,unisex,
GGL-BIKE-BELL,"Google Bike Bell","Add a touch of Google to your ride with this classic and cheerful bike bell.",in_stock,http://www.example.com/google_bike_bell,http://www.example.com/google_bike_bell.jpg,9.99 USD,yes,,GGL-BIKE-BELL,Google,new,no,Silver,,unisex,
GGL-PLANT-POT,"Google Self-Watering Plant Pot","A modern and stylish self-watering plant pot, perfect for your desk or windowsill. Keep your plants happy and hydrated.",in_stock,http://www.example.com/google_plant_pot,http://www.example.com/google_plant_pot.jpg,24.99 USD,yes,,GGL-PLANT-POT,Google,new,no,White,,unisex,
GGL-WIRELESS-CHRGR,"Google Pixel Stand (2nd Gen)","A fast and convenient wireless charger for your Pixel phone and other Qi-compatible devices.",in_stock,http://www.example.com/pixel_stand,http://www.example.com/pixel_stand.jpg,79.00 USD,yes,810029934273,GA03178-US,Google,new,no,White,,unisex,
GGL-USB-C-CABLE,"Google USB-C to USB-C Cable (1m)","A durable and reliable 1-meter USB-C to USB-C cable for charging and data transfer.",in_stock,http://www.example.com/google_usb_c_cable,http://www.example.com/google_usb_c_cable.jpg,19.99 USD,yes,,GGL-USB-C-CABLE,Google,new,no,White,,unisex,
GGL-LAPTOP-SLV-13,"Google Laptop Sleeve (13-inch)","Protect your laptop in style with this sleek and padded 13-inch laptop sleeve.",in_stock,http://www.example.com/google_laptop_sleeve_13,http://www.example.com/google_laptop_sleeve_13.jpg,29.99 USD,yes,,GGL-LAPTOP-SLV-13,Google,new,no,Gray,,unisex,
GGL-MOUSEPAD,"Google Logo Mousepad","A smooth and durable mousepad with a non-slip rubber base, perfect for any desk setup.",in_stock,http://www.example.com/google_mousepad,http://www.example.com/google_mousepad.jpg,9.99 USD,yes,,GGL-MOUSEPAD,Google,new,no,White,,unisex,
GGL-TRAVEL-ADAPT,"Google Universal Travel Adapter","Stay connected wherever you go with this compact and versatile universal travel adapter.",in_stock,http://www.example.com/google_travel_adapter,http://www.example.com/google_travel_adapter.jpg,24.99 USD,yes,,GGL-TRAVEL-ADAPT,Google,new,no,White,,unisex,
GGL-KEYCHAIN,"Google Logo Keychain","A durable and stylish metal keychain featuring the iconic Google logo.",in_stock,http://www.example.com/google_keychain,http://www.example.com/google_keychain.jpg,7.99 USD,yes,,GGL-KEYCHAIN,Google,new,no,Silver,,unisex,
GGL-GOLF-BALLS,"Google Logo Golf Balls (3-pack)","Improve your game with this 3-pack of high-performance golf balls, each printed with the Google logo.",in_stock,http://www.example.com/google_golf_balls,http://www.example.com/google_golf_balls.jpg,14.99 USD,yes,,GGL-GOLF-BALLS,Google,new,no,White,,unisex,
GGL-FRISBEE,"Google Flying Disc","Have some fun in the sun with this classic and durable flying disc.",in_stock,http://www.example.com/google_frisbee,http://www.example.com/google_frisbee.jpg,9.99 USD,yes,,GGL-FRISBEE,Google,new,no,Blue,,unisex,
GGL-UMBRELLA,"Google Compact Travel Umbrella","Stay dry on rainy days with this compact and lightweight travel umbrella.",in_stock,http://www.example.com/google_umbrella,http://www.example.com/google_umbrella.jpg,19.99 USD,yes,,GGL-UMBRELLA,Google,new,no,Black,,unisex,
GGL-SUNGLASSES,"Google Logo Sunglasses","Protect your eyes in style with these classic wayfarer-style sunglasses featuring the Google logo on the arm.",in_stock,http://www.example.com/google_sunglasses,http://www.example.com/google_sunglasses.jpg,14.99 USD,yes,,GGL-SUNGLASSES,Google,new,no,Black,,unisex,adult
GGL-BEANIE,"Google Knit Beanie","Stay warm and cozy with this soft and comfortable knit beanie featuring an embroidered Google logo.",in_stock,http://www.example.com/google_beanie,http://www.example.com/google_beanie.jpg,19.99 USD,yes,,GGL-BEANIE,Google,new,no,Gray,,unisex,adult
GGL-SCARF,"Google Knit Scarf","A warm and stylish knit scarf perfect for cold weather. Features a subtle embroidered Google logo.",in_stock,http://www.example.com/google_scarf,http://www.example.com/google_scarf.jpg,24.99 USD,yes,,GGL-SCARF,Google,new,no,Gray,,unisex,adult
GGL-GLOVES,"Google Touchscreen Gloves","Keep your hands warm while still being able to use your smartphone with these comfortable touchscreen-compatible gloves.",in_stock,http://www.example.com/google_gloves,http://www.example.com/google_gloves.jpg,14.99 USD,yes,,GGL-GLOVES,Google,new,no,Black,,unisex,adult
GGL-PINS-SET,"Google Enamel Pin Set","A set of four unique and collectible enamel pins featuring various Google logos and icons.",in_stock,http://www.example.com/google_pin_set,http://www.example.com/google_pin_set.jpg,12.99 USD,yes,,GGL-PINS-SET,Google,new,no,Multi-color,,unisex,
GGL-MAGNET-SET,"Google Fridge Magnet Set","Add a touch of Google to your kitchen with this set of colorful and fun fridge magnets.",in_stock,http://www.example.com/google_magnet_set,http://www.example.com/google_magnet_set.jpg,9.99 USD,yes,,GGL-MAGNET-SET,Google,new,no,Multi-color,,unisex,
GGL-COASTERS-4,"Google Coaster Set (4-pack)","Protect your surfaces in style with this set of four high-quality coasters.",in_stock,http://www.example.com/google_coasters,http://www.example.com/google_coasters.jpg,14.99 USD,yes,,GGL-COASTERS-4,Google,new,no,Multi-color,,unisex,
GGL-WALL-CLOCK,"Google Modern Wall Clock","A sleek and minimalist wall clock that will add a touch of modern design to any room.",in_stock,http://www.example.com/google_wall_clock,http://www.example.com/google_wall_clock.jpg,29.99 USD,yes,,GGL-WALL-CLOCK,Google,new,no,White,,unisex,
GGL-DESK-ORGANIZER,"Google Bamboo Desk Organizer","Keep your desk tidy and organized with this stylish and sustainable bamboo desk organizer.",in_stock,http://www.example.com/google_desk_organizer,http://www.example.com/google_desk_organizer.jpg,34.99 USD,yes,,GGL-DESK-ORGANIZER,Google,new,no,Natural,,unisex,
GGL-LUNCH-BAG,"Google Insulated Lunch Bag","Keep your lunch fresh and cool with this durable and insulated lunch bag.",in_stock,http://www.example.com/google_lunch_bag,http://www.example.com/google_lunch_bag.jpg,19.99 USD,yes,,GGL-LUNCH-BAG,Google,new,no,Gray,,unisex,
GGL-PET-BOWL,"Google 'Feed Me' Pet Bowl","A fun and stylish ceramic pet bowl for your furry friend.",in_stock,http://www.example.com/google_pet_bowl,http://www.example.com/google_pet_bowl.jpg,14.99 USD,yes,,GGL-PET-BOWL,Google,new,no,White,,unisex,
GGL-THROW-BLANKET,"Google Fleece Throw Blanket","A soft and cozy fleece throw blanket perfect for snuggling up on the couch.",in_stock,http://www.example.com/google_throw_blanket,http://www.example.com/google_throw_blanket.jpg,39.99 USD,yes,,GGL-THROW-BLANKET,Google,new,no,Blue,,unisex,
GGL-DOORMAT,"Google 'Welcome' Doormat","Welcome guests to your home with this durable and stylish doormat.",in_stock,http://www.example.com/google_doormat,http://www.example.com/google_doormat.jpg,24.99 USD,yes,,GGL-DOORMAT,Google,new,no,Natural,,unisex,
GGL-CANDLE-VANILLA,"Google Scented Candle (Vanilla)","Create a warm and inviting atmosphere with this vanilla-scented soy wax candle.",in_stock,http://www.example.com/google_candle_vanilla,http://www.example.com/google_candle_vanilla.jpg,19.99 USD,yes,,GGL-CANDLE-VANILLA,Google,new,no,White,,unisex,
