id,title,description,availability,link,image link,price,identifier exists,gtin,mpn,brand,condition,adult,color,size,gender,age group
PROD_0001,"Google Smart Speaker V5Pro with Voice Assistant","Experience crystal-clear sound and intelligent assistance with the Google Smart Speaker V5Pro. Control your music, get answers, and manage your smart home with just your voice. A perfect blend of style and technology.",in_stock,http://www.example.com/google/smart_speaker/PROD_0001,http://www.example.com/images/google/smart_speaker/PROD_0001.jpg,123.67 USD,yes,733796590299,SS-GOO-B18036B6,Google,new,no,Chalk,One Size,unisex,adult
PROD_0002,"Nike Logo T-Shirt - M Grey","Show your pride with this comfortable Grey Nike Logo T-Shirt. Made from premium cotton, it's perfect for everyday wear. Available in various sizes for a perfect fit.",in_stock,http://www.example.com/nike/t-shirt/PROD_0002,http://www.example.com/images/nike/t-shirt/PROD_0002.jpg,36.63 USD,yes,138676059102,TS-NIK-D79015DF,Nike,new,no,Grey,M,unisex,kids
PROD_0003,"Microsoft Smartwatch Series V4Pro - Rose Gold Band","Stay connected and track your fitness with the Microsoft Smartwatch Series V4Pro. Featuring health monitoring, notifications, and a stylish Rose Gold band, it's the ultimate companion for a modern lifestyle.",in_stock,http://www.example.com/microsoft/smartwatch/PROD_0003,http://www.example.com/images/microsoft/smartwatch/PROD_0003.jpg,426.69 USD,yes,034720912177,SW-MIC-A0F61E47,Microsoft,new,no,Rose Gold,One Size,unisex,adult
PROD_0004,"Sony Wireless Headphones - Black - Noise Cancelling","Immerse yourself in rich, dynamic sound with Sony Wireless Headphones. Featuring active noise cancellation and a comfortable Black design, these headphones are perfect for travel, work, or leisure. Enjoy hours of listening on a single charge.",in_stock,http://www.example.com/sony/wireless_headphones/PROD_0004,http://www.example.com/images/sony/wireless_headphones/PROD_0004.jpg,333.37 USD,yes,682490710636,HP-SON-B7477D8D,Sony,new,no,Black,One Size,unisex,
PROD_0005,"Adidas Logo T-Shirt - M Green","Show your pride with this comfortable Green Adidas Logo T-Shirt. Made from premium cotton, it's perfect for everyday wear. Available in various sizes for a perfect fit.",in_stock,http://www.example.com/adidas/t-shirt/PROD_0005,http://www.example.com/images/adidas/t-shirt/PROD_0005.jpg,28.62 USD,yes,333909795098,TS-ADI-9669524F,Adidas,new,no,Green,M,unisex,kids
PROD_0006,"Dyson Everyday Backpack - Teal - Standard","The Dyson Everyday Backpack offers ample storage and durable construction. Perfect for school, work, or travel, this Teal backpack features multiple compartments to keep your essentials organized. Comfortable straps ensure all-day wear.",in_stock,http://www.example.com/dyson/backpack/PROD_0006,http://www.example.com/images/dyson/backpack/PROD_0006.jpg,115.65 USD,yes,687053075249,BP-DYS-1996245F,Dyson,new,no,Teal,Standard,unisex,kids
PROD_0007,"HP Gaming Mouse - Black - High Precision","Gain the edge in your games with the HP Gaming Mouse. Featuring high-precision tracking, customizable buttons, and vibrant Black RGB lighting, it's designed for serious gamers.",in_stock,http://www.example.com/hp/gaming_mouse/PROD_0007,http://www.example.com/images/hp/gaming_mouse/PROD_0007.jpg,64.22 USD,yes,937397754637,GM-HP--2CEF68B7,HP,new,no,Black,One Size,unisex,adult
PROD_0008,"Amazon Fitness Tracker V2X - Red Band","Achieve your fitness goals with the Amazon Fitness Tracker V2X. Monitor your heart rate, steps, sleep, and more with this sleek Red device. Stay motivated and track your progress effortlessly.",in_stock,http://www.example.com/amazon/fitness_tracker/PROD_0008,http://www.example.com/images/amazon/fitness_tracker/PROD_0008.jpg,117.86 USD,yes,078310061214,FT-AMA-377ED832,Amazon,new,no,Red,One Size,unisex,teen
PROD_0009,"Dell LED Desk Lamp - Black - Dimmable","Illuminate your workspace with the Dell LED Desk Lamp. Featuring adjustable brightness, multiple light modes, and a modern Black design, it's perfect for reading, studying, or working. Energy-efficient and stylish.",in_stock,http://www.example.com/dell/desk_lamp/PROD_0009,http://www.example.com/images/dell/desk_lamp/PROD_0009.jpg,56.09 USD,yes,,DL-DEL-5544B34C,Dell,new,no,Black,One Size,unisex,
PROD_0010,"Apple Wireless Headphones - Rose Gold - Noise Cancelling","Immerse yourself in rich, dynamic sound with Apple Wireless Headphones. Featuring active noise cancellation and a comfortable Rose Gold design, these headphones are perfect for travel, work, or leisure. Enjoy hours of listening on a single charge.",in_stock,http://www.example.com/apple/wireless_headphones/PROD_0010,http://www.example.com/images/apple/wireless_headphones/PROD_0010.jpg,330.68 USD,yes,740700021312,HP-APP-12A45C97,Apple,new,no,Rose Gold,One Size,unisex,
PROD_0011,"HP Everyday Backpack - Purple - Large","The HP Everyday Backpack offers ample storage and durable construction. Perfect for school, work, or travel, this Purple backpack features multiple compartments to keep your essentials organized. Comfortable straps ensure all-day wear.",in_stock,http://www.example.com/hp/backpack/PROD_0011,http://www.example.com/images/hp/backpack/PROD_0011.jpg,103.79 USD,yes,715101659086,BP-HP--7134EF39,HP,new,no,Purple,Large,unisex,adult
PROD_0012,"IKEA Logo Coffee Mug - Blue","Enjoy your favorite beverage in this high-quality IKEA Logo Coffee Mug. Made from durable ceramic and featuring a vibrant Blue finish, it's perfect for home or office. Dishwasher and microwave safe.",in_stock,http://www.example.com/ikea/coffee_mug/PROD_0012,http://www.example.com/images/ikea/coffee_mug/PROD_0012.jpg,16.51 USD,yes,,CM-IKE-8D6B7838,IKEA,new,no,Blue,One Size,unisex,
PROD_0013,"Samsung Smartwatch Series V4Max - Rose Gold Band","Stay connected and track your fitness with the Samsung Smartwatch Series V4Max. Featuring health monitoring, notifications, and a stylish Rose Gold band, it's the ultimate companion for a modern lifestyle.",in_stock,http://www.example.com/samsung/smartwatch/PROD_0013,http://www.example.com/images/samsung/smartwatch/PROD_0013.jpg,520.40 USD,yes,037048126848,SW-SAM-2D016629,Samsung,new,no,Rose Gold,One Size,female,adult
PROD_0014,"Philips Fitness Tracker V1X - Pink Band","Achieve your fitness goals with the Philips Fitness Tracker V1X. Monitor your heart rate, steps, sleep, and more with this sleek Pink device. Stay motivated and track your progress effortlessly.",in_stock,http://www.example.com/philips/fitness_tracker/PROD_0014,http://www.example.com/images/philips/fitness_tracker/PROD_0014.jpg,144.17 USD,yes,569720468979,FT-PHI-44444567,Philips,new,no,Pink,One Size,female,teen
PROD_0015,"Logitech Gaming Mouse - Red - High Precision","Gain the edge in your games with the Logitech Gaming Mouse. Featuring high-precision tracking, customizable buttons, and vibrant Red RGB lighting, it's designed for serious gamers.",in_stock,http://www.example.com/logitech/gaming_mouse/PROD_0015,http://www.example.com/images/logitech/gaming_mouse/PROD_0015.jpg,49.20 USD,yes,036980486796,GM-LOG-CC49514F,Logitech,new,no,Red,One Size,unisex,adult
PROD_0016,"Nike Wireless Headphones - Blue - Noise Cancelling","Immerse yourself in rich, dynamic sound with Nike Wireless Headphones. Featuring active noise cancellation and a comfortable Blue design, these headphones are perfect for travel, work, or leisure. Enjoy hours of listening on a single charge.",in_stock,http://www.example.com/nike/wireless_headphones/PROD_0016,http://www.example.com/images/nike/wireless_headphones/PROD_0016.jpg,330.40 USD,yes,491626786196,HP-NIK-70B0259B,Nike,new,no,Blue,One Size,unisex,
PROD_0017,"Dyson Everyday Backpack - Yellow - Standard","The Dyson Everyday Backpack offers ample storage and durable construction. Perfect for school, work, or travel, this Yellow backpack features multiple compartments to keep your essentials organized. Comfortable straps ensure all-day wear.",in_stock,http://www.example.com/dyson/backpack/PROD_0017,http://www.example.com/images/dyson/backpack/PROD_0017.jpg,114.77 USD,yes,747798365611,BP-DYS-1ECF9CC3,Dyson,new,no,Yellow,Standard,male,adult
PROD_0018,"Logitech Smart Speaker V2X with Voice Assistant","Experience crystal-clear sound and intelligent assistance with the Logitech Smart Speaker V2X. Control your music, get answers, and manage your smart home with just your voice. A perfect blend of style and technology.",in_stock,http://www.example.com/logitech/smart_speaker/PROD_0018,http://www.example.com/images/logitech/smart_speaker/PROD_0018.jpg,90.41 USD,yes,933903173775,SS-LOG-61921319,Logitech,new,no,Black,One Size,unisex,adult
PROD_0019,"Adidas Logo T-Shirt - XL Black","Show your pride with this comfortable Black Adidas Logo T-Shirt. Made from premium cotton, it's perfect for everyday wear. Available in various sizes for a perfect fit.",in_stock,http://www.example.com/adidas/t-shirt/PROD_0019,http://www.example.com/images/adidas/t-shirt/PROD_0019.jpg,21.57 USD,yes,761966020525,TS-ADI-2D45070A,Adidas,new,no,Black,XL,unisex,kids
